"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject","group","date","rt","stimulus","response","task_part","task","face_id","condition","age_rating"
"","","","","","html-keyboard-response","300","796481","0.0-2.0-1.99","2","B","21/02/2026","null","<img src=""img/face_092_color.jpg"" style=""height:400px; width:auto;"">","null","","exp1","092","color",""
"","","","","","survey-text","301","800156","0.0-2.0-2.99","2","B","21/02/2026","3672","","{""age"":""32""}","","exp1","092","color","32"
"","","","","","html-keyboard-response","302","935223","0.0-3.0","2","B","21/02/2026","135066","
            <h2>Break</h2>
            <p>You have finished Part 1.</p>
            <p>Take a short rest.</p>
            <p>Press any key to start Part 2.</p>
        ","alt","","","","",""
"","","","","","html-keyboard-response","303","935735","0.0-4.0-0.0","2","B","21/02/2026","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","","","","","html-keyboard-response","304","937747","0.0-4.0-1.0","2","B","21/02/2026","null","<img src=""img/face_129_rg_minus.jpg"" style=""height:400px; width:auto;"">","null","","exp2","129","rg_minus",""
"","","","","","survey-text","305","1701631","0.0-4.0-2.0","2","B","21/02/2026","763878","","{""age"":""30""}","","exp2","129","rg_minus","30"
"","","","","","html-keyboard-response","306","1702134","0.0-4.0-0.1","2","B","21/02/2026","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","","","","","html-keyboard-response","307","1704144","0.0-4.0-1.1","2","B","21/02/2026","null","<img src=""img/face_183_rg_minus.jpg"" style=""height:400px; width:auto;"">","null","","exp2","183","rg_minus",""
"","","","","","survey-text","308","1707567","0.0-4.0-2.1","2","B","21/02/2026","3419","","{""age"":""36""}","","exp2","183","rg_minus","36"
"","","","","","html-keyboard-response","309","1708081","0.0-4.0-0.2","2","B","21/02/2026","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","","","","","html-keyboard-response","310","1710084","0.0-4.0-1.2","2","B","21/02/2026","null","<img src=""img/face_132_rg_plus.jpg"" style=""height:400px; width:auto;"">","null","","exp2","132","rg_plus",""
"","","","","","survey-text","311","1712096","0.0-4.0-2.2","2","B","21/02/2026","2007","","{""age"":""49""}","","exp2","132","rg_plus","49"
"","","","","","html-keyboard-response","312","1712608","0.0-4.0-0.3","2","B","21/02/2026","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","","","","","html-keyboard-response","313","1714624","0.0-4.0-1.3","2","B","21/02/2026","null","<img src=""img/face_125_rg_minus.jpg"" style=""height:400px; width:auto;"">","null","","exp2","125","rg_minus",""
"","","","","","survey-text","314","1717073","0.0-4.0-2.3","2","B","21/02/2026","2444","","{""age"":""32""}","","exp2","125","rg_minus","32"
"","","","","","html-keyboard-response","315","1717579","0.0-4.0-0.4","2","B","21/02/2026","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","","","","","html-keyboard-response","316","1719582","0.0-4.0-1.4","2","B","21/02/2026","null","<img src=""img/face_182_rg_plus.jpg"" style=""height:400px; width:auto;"">","null","","exp2","182","rg_plus",""
"","","","","","survey-text","317","1722320","0.0-4.0-2.4","2","B","21/02/2026","2735","","{""age"":""29""}","","exp2","182","rg_plus","29"
"","","","","","html-keyboard-response","318","1722827","0.0-4.0-0.5","2","B","21/02/2026","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","","","","","html-keyboard-response","319","1724842","0.0-4.0-1.5","2","B","21/02/2026","null","<img src=""img/face_169_rg_minus.jpg"" style=""height:400px; width:auto;"">","null","","exp2","169","rg_minus",""
"","","","","","survey-text","320","1726968","0.0-4.0-2.5","2","B","21/02/2026","2121","","{""age"":""37""}","","exp2","169","rg_minus","37"
"","","","","","html-keyboard-response","321","1727480","0.0-4.0-0.6","2","B","21/02/2026","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","","","","","html-keyboard-response","322","1729484","0.0-4.0-1.6","2","B","21/02/2026","null","<img src=""img/face_189_rg_minus.jpg"" style=""height:400px; width:auto;"">","null","","exp2","189","rg_minus",""
"","","","","","survey-text","323","1731727","0.0-4.0-2.6","2","B","21/02/2026","2240","","{""age"":""44""}","","exp2","189","rg_minus","44"
"","","","","","html-keyboard-response","324","1732241","0.0-4.0-0.7","2","B","21/02/2026","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","","","","","html-keyboard-response","325","1734245","0.0-4.0-1.7","2","B","21/02/2026","null","<img src=""img/face_196_rg_plus.jpg"" style=""height:400px; width:auto;"">","null","","exp2","196","rg_plus",""
"","","","","","survey-text","326","1736603","0.0-4.0-2.7","2","B","21/02/2026","2355","","{""age"":""39""}","","exp2","196","rg_plus","39"
"","","","","","html-keyboard-response","327","1737105","0.0-4.0-0.8","2","B","21/02/2026","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","","","","","html-keyboard-response","328","1739120","0.0-4.0-1.8","2","B","21/02/2026","null","<img src=""img/face_190_rg_plus.jpg"" style=""height:400px; width:auto;"">","null","","exp2","190","rg_plus",""
"","","","","","survey-text","329","1741811","0.0-4.0-2.8","2","B","21/02/2026","2688","","{""age"":""28""}","","exp2","190","rg_plus","28"
"","","","","","html-keyboard-response","330","1742322","0.0-4.0-0.9","2","B","21/02/2026","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","","","","","html-keyboard-response","331","1744325","0.0-4.0-1.9","2","B","21/02/2026","null","<img src=""img/face_112_rg_plus.jpg"" style=""height:400px; width:auto;"">","null","","exp2","112","rg_plus",""
"","","","","","survey-text","332","1747088","0.0-4.0-2.9","2","B","21/02/2026","2759","","{""age"":""37""}","","exp2","112","rg_plus","37"
