success,timeout,failed_images,failed_audio,failed_video,trial_type,trial_index,time_elapsed,internal_node_id,subject,group,date,rt,stimulus,response,task_part,task,face_id,condition,age_rating
,,,,,html-keyboard-response,346,600526,0.0-4.0-1.14,6,B,23/02/2026,null,"<img src=""img/face_193_rg_minus.jpg"" style=""height:400px; width:auto;"">",null,,exp2,193,rg_minus,
,,,,,survey-text,347,601569,0.0-4.0-2.14,6,B,23/02/2026,1039,,"{""age"":""25""}",,exp2,193,rg_minus,25
,,,,,html-keyboard-response,348,602071,0.0-4.0-0.15,6,B,23/02/2026,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,,
,,,,,html-keyboard-response,349,604082,0.0-4.0-1.15,6,B,23/02/2026,null,"<img src=""img/face_144_rg_plus.jpg"" style=""height:400px; width:auto;"">",null,,exp2,144,rg_plus,
,,,,,survey-text,350,604702,0.0-4.0-2.15,6,B,23/02/2026,614,,"{""age"":""25""}",,exp2,144,rg_plus,25
,,,,,html-keyboard-response,351,605211,0.0-4.0-0.16,6,B,23/02/2026,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,,
,,,,,html-keyboard-response,352,607227,0.0-4.0-1.16,6,B,23/02/2026,null,"<img src=""img/face_142_rg_plus.jpg"" style=""height:400px; width:auto;"">",null,,exp2,142,rg_plus,
,,,,,survey-text,353,607833,0.0-4.0-2.16,6,B,23/02/2026,602,,"{""age"":""50""}",,exp2,142,rg_plus,50
,,,,,html-keyboard-response,354,608334,0.0-4.0-0.17,6,B,23/02/2026,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,,
,,,,,html-keyboard-response,355,610346,0.0-4.0-1.17,6,B,23/02/2026,null,"<img src=""img/face_154_rg_plus.jpg"" style=""height:400px; width:auto;"">",null,,exp2,154,rg_plus,
,,,,,survey-text,356,611422,0.0-4.0-2.17,6,B,23/02/2026,1072,,"{""age"":""30""}",,exp2,154,rg_plus,30
,,,,,html-keyboard-response,357,611923,0.0-4.0-0.18,6,B,23/02/2026,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,,
,,,,,html-keyboard-response,358,613933,0.0-4.0-1.18,6,B,23/02/2026,null,"<img src=""img/face_103_rg_minus.jpg"" style=""height:400px; width:auto;"">",null,,exp2,103,rg_minus,
,,,,,survey-text,359,614567,0.0-4.0-2.18,6,B,23/02/2026,629,,"{""age"":""30""}",,exp2,103,rg_minus,30
,,,,,html-keyboard-response,360,615073,0.0-4.0-0.19,6,B,23/02/2026,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,,
,,,,,html-keyboard-response,361,617087,0.0-4.0-1.19,6,B,23/02/2026,null,"<img src=""img/face_125_rg_minus.jpg"" style=""height:400px; width:auto;"">",null,,exp2,125,rg_minus,
,,,,,survey-text,362,618782,0.0-4.0-2.19,6,B,23/02/2026,1691,,"{""age"":""25""}",,exp2,125,rg_minus,25
,,,,,html-keyboard-response,363,619284,0.0-4.0-0.20,6,B,23/02/2026,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,,
,,,,,html-keyboard-response,364,621297,0.0-4.0-1.20,6,B,23/02/2026,null,"<img src=""img/face_132_rg_plus.jpg"" style=""height:400px; width:auto;"">",null,,exp2,132,rg_plus,
,,,,,survey-text,365,621958,0.0-4.0-2.20,6,B,23/02/2026,657,,"{""age"":""50""}",,exp2,132,rg_plus,50
,,,,,html-keyboard-response,366,622469,0.0-4.0-0.21,6,B,23/02/2026,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,,
,,,,,html-keyboard-response,367,624480,0.0-4.0-1.21,6,B,23/02/2026,null,"<img src=""img/face_116_rg_plus.jpg"" style=""height:400px; width:auto;"">",null,,exp2,116,rg_plus,
,,,,,survey-text,368,625030,0.0-4.0-2.21,6,B,23/02/2026,544,,"{""age"":""30""}",,exp2,116,rg_plus,30
,,,,,html-keyboard-response,369,625542,0.0-4.0-0.22,6,B,23/02/2026,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,,
,,,,,html-keyboard-response,370,627556,0.0-4.0-1.22,6,B,23/02/2026,null,"<img src=""img/face_156_rg_plus.jpg"" style=""height:400px; width:auto;"">",null,,exp2,156,rg_plus,
,,,,,survey-text,371,628129,0.0-4.0-2.22,6,B,23/02/2026,569,,"{""age"":""20""}",,exp2,156,rg_plus,20
,,,,,html-keyboard-response,372,628632,0.0-4.0-0.23,6,B,23/02/2026,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,,
,,,,,html-keyboard-response,373,630636,0.0-4.0-1.23,6,B,23/02/2026,null,"<img src=""img/face_180_rg_plus.jpg"" style=""height:400px; width:auto;"">",null,,exp2,180,rg_plus,
,,,,,survey-text,374,631575,0.0-4.0-2.23,6,B,23/02/2026,934,,"{""age"":""20""}",,exp2,180,rg_plus,20
,,,,,html-keyboard-response,375,632086,0.0-4.0-0.24,6,B,23/02/2026,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,,
,,,,,html-keyboard-response,376,634092,0.0-4.0-1.24,6,B,23/02/2026,null,"<img src=""img/face_197_rg_minus.jpg"" style=""height:400px; width:auto;"">",null,,exp2,197,rg_minus,
,,,,,survey-text,377,635108,0.0-4.0-2.24,6,B,23/02/2026,1011,,"{""age"":""30""}",,exp2,197,rg_minus,30
,,,,,html-keyboard-response,378,635622,0.0-4.0-0.25,6,B,23/02/2026,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,,
,,,,,html-keyboard-response,379,637636,0.0-4.0-1.25,6,B,23/02/2026,null,"<img src=""img/face_136_rg_plus.jpg"" style=""height:400px; width:auto;"">",null,,exp2,136,rg_plus,
,,,,,survey-text,380,639166,0.0-4.0-2.25,6,B,23/02/2026,1525,,"{""age"":""30""}",,exp2,136,rg_plus,30
,,,,,html-keyboard-response,381,639680,0.0-4.0-0.26,6,B,23/02/2026,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,,
,,,,,html-keyboard-response,382,641687,0.0-4.0-1.26,6,B,23/02/2026,null,"<img src=""img/face_112_rg_plus.jpg"" style=""height:400px; width:auto;"">",null,,exp2,112,rg_plus,
,,,,,survey-text,383,643171,0.0-4.0-2.26,6,B,23/02/2026,1480,,"{""age"":""50""}",,exp2,112,rg_plus,50
,,,,,html-keyboard-response,384,643679,0.0-4.0-0.27,6,B,23/02/2026,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,,
,,,,,html-keyboard-response,385,645692,0.0-4.0-1.27,6,B,23/02/2026,null,"<img src=""img/face_200_rg_plus.jpg"" style=""height:400px; width:auto;"">",null,,exp2,200,rg_plus,
,,,,,survey-text,386,646716,0.0-4.0-2.27,6,B,23/02/2026,1019,,"{""age"":""40""}",,exp2,200,rg_plus,40
,,,,,html-keyboard-response,387,647219,0.0-4.0-0.28,6,B,23/02/2026,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,,
,,,,,html-keyboard-response,388,649232,0.0-4.0-1.28,6,B,23/02/2026,null,"<img src=""img/face_145_rg_minus.jpg"" style=""height:400px; width:auto;"">",null,,exp2,145,rg_minus,
,,,,,survey-text,389,650632,0.0-4.0-2.28,6,B,23/02/2026,1396,,"{""age"":""40""}",,exp2,145,rg_minus,40
,,,,,html-keyboard-response,390,651135,0.0-4.0-0.29,6,B,23/02/2026,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,,
,,,,,html-keyboard-response,391,653148,0.0-4.0-1.29,6,B,23/02/2026,null,"<img src=""img/face_146_rg_plus.jpg"" style=""height:400px; width:auto;"">",null,,exp2,146,rg_plus,
,,,,,survey-text,392,653957,0.0-4.0-2.29,6,B,23/02/2026,803,,"{""age"":""20""}",,exp2,146,rg_plus,20
,,,,,html-keyboard-response,393,654460,0.0-4.0-0.30,6,B,23/02/2026,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,,
,,,,,html-keyboard-response,394,656476,0.0-4.0-1.30,6,B,23/02/2026,null,"<img src=""img/face_140_rg_plus.jpg"" style=""height:400px; width:auto;"">",null,,exp2,140,rg_plus,
,,,,,survey-text,395,657266,0.0-4.0-2.30,6,B,23/02/2026,784,,"{""age"":""50""}",,exp2,140,rg_plus,50
,,,,,html-keyboard-response,396,657776,0.0-4.0-0.31,6,B,23/02/2026,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,,
,,,,,html-keyboard-response,397,659785,0.0-4.0-1.31,6,B,23/02/2026,null,"<img src=""img/face_188_rg_plus.jpg"" style=""height:400px; width:auto;"">",null,,exp2,188,rg_plus,
,,,,,survey-text,398,660545,0.0-4.0-2.31,6,B,23/02/2026,757,,"{""age"":""20""}",,exp2,188,rg_plus,20
,,,,,html-keyboard-response,399,661050,0.0-4.0-0.32,6,B,23/02/2026,null,"<div style=""font-size:60px;"">+</div>",null,fixation,,,,
